image,pc_latency_ms,luckfox_latency_ms,pc_detections,luckfox_detections,luckfox_status,updated_at,Lane_1_pc,Lane_2_pc,Lane_3_pc,Lane_1_luckfox,Lane_2_luckfox,Lane_3_luckfox
img00001.jpg,67.928,81.600,8,9,OK,2026-04-26T15:14:23,3,2,3,3,2,4
img00002.jpg,43.896,82.043,9,9,OK,2026-04-26T15:14:56,4,2,3,3,2,4
img00003.jpg,37.312,81.549,8,9,OK,2026-04-26T15:14:58,2,2,4,3,2,4
img00004.jpg,38.723,81.536,8,11,OK,2026-04-26T15:15:02,2,2,4,4,2,5
img00005.jpg,45.431,82.319,9,12,OK,2026-04-26T15:15:05,2,2,5,4,2,6
img00006.jpg,37.331,81.563,9,13,OK,2026-04-26T15:15:09,2,2,5,4,2,7
img00007.jpg,34.340,81.542,10,12,OK,2026-04-26T15:15:12,3,2,5,4,2,6
img00008.jpg,146.686,81.544,8,10,OK,2026-04-26T15:15:15,3,2,3,3,2,5
img00009.jpg,36.347,81.580,8,9,OK,2026-04-26T15:15:18,3,1,4,3,1,5
img00010.jpg,34.836,81.558,7,9,OK,2026-04-26T15:15:20,3,1,3,4,1,4
img00011.jpg,36.815,81.565,8,9,OK,2026-04-26T15:15:23,4,1,3,4,1,4
img00012.jpg,39.683,81.548,8,8,OK,2026-04-26T15:15:26,4,1,3,3,1,4
img00013.jpg,45.189,81.571,8,8,OK,2026-04-26T15:15:28,4,1,3,3,1,4
img00014.jpg,34.391,81.581,8,9,OK,2026-04-26T15:15:31,4,1,3,3,2,4
img00015.jpg,36.212,81.542,7,9,OK,2026-04-26T15:15:34,3,1,3,3,1,5
img00016.jpg,37.058,81.562,7,10,OK,2026-04-26T15:15:36,3,1,3,4,2,4
img00017.jpg,36.734,81.573,7,10,OK,2026-04-26T15:15:39,3,1,3,4,2,4
img00018.jpg,37.857,81.553,6,8,OK,2026-04-26T15:15:41,2,1,3,3,2,3
img00019.jpg,35.693,81.572,6,9,OK,2026-04-26T15:15:44,2,1,3,3,2,4
img00020.jpg,35.085,82.239,8,7,OK,2026-04-26T15:15:47,4,1,3,2,2,3
img00021.jpg,35.260,81.549,7,7,OK,2026-04-26T15:15:49,3,1,3,2,2,3
img00022.jpg,37.073,81.542,7,7,OK,2026-04-26T15:15:52,3,1,3,3,1,3
img00023.jpg,36.927,81.535,7,8,OK,2026-04-26T15:15:55,3,1,3,3,2,3
img00024.jpg,149.945,81.550,7,9,OK,2026-04-26T15:15:58,3,1,3,4,1,4
img00025.jpg,37.328,81.557,8,8,OK,2026-04-26T15:16:04,4,1,3,3,1,4
img00026.jpg,42.063,81.542,9,10,OK,2026-04-26T15:16:07,5,1,3,4,1,5
img00027.jpg,40.244,82.313,8,9,OK,2026-04-26T15:16:09,4,1,3,1,3,5
img00028.jpg,36.049,81.569,7,8,OK,2026-04-26T15:16:12,3,1,3,2,2,4
img00029.jpg,36.969,81.525,7,9,OK,2026-04-26T15:16:15,3,1,3,4,1,4
img00030.jpg,138.906,81.548,7,7,OK,2026-04-26T15:16:17,3,1,3,2,1,4
img00031.jpg,37.528,82.069,7,7,OK,2026-04-26T15:16:20,3,1,3,2,1,4
